-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       10.688s       104.13%       10.688s       6.834ms          1564  
                      nvjet_tst_192x8_64x8_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        3.869s        37.69%        3.869s      68.665us         56340  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        2.792s        27.20%        2.792s      24.776us        112680  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us        1.109s        10.81%        1.109s      19.688us         56340  
                                               aten::mm         0.98%     114.991ms         1.24%     145.601ms      67.911us     665.844ms         6.49%     666.283ms     310.766us          2144  
                      nvjet_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     642.751ms         6.26%     642.751ms     409.918us          1568  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     522.570ms         5.09%     522.570ms       9.281us         56304  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     223.067ms         2.17%     223.067ms       1.978us        112752  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us     151.236ms         1.47%     151.236ms       2.686us         56304  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us     135.494ms         1.32%     135.494ms       2.400us         56448  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     134.464ms         1.31%     134.464ms       2.382us         56448  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us     127.983ms         1.25%     127.983ms       2.267us         56448  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     121.478ms         1.18%     121.478ms       2.214us         54880  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     118.210ms         1.15%     118.210ms       2.154us         54880  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      91.913ms         0.90%      91.913ms       1.628us         56448  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      81.906ms         0.80%      81.906ms       1.492us         54880  
                                            aten::copy_         0.98%     115.421ms         2.58%     303.772ms      12.108us      53.851ms         0.52%      53.859ms       2.147us         25088  
