-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_0(0)_generation_1(255)         0.00%       0.000us         0.00%       0.000us       0.000us        3.888s        90.88%        3.888s      13.181ms           295  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     845.113ms        19.75%     845.113ms      79.577us         10620  
                     nvjet_tst_64x128_64x8_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     747.660ms        17.47%     747.660ms      35.201us         21240  
kernel_cutlass_kernel_optimus_cutedslflash_attnflash...         0.00%       0.000us         0.00%       0.000us       0.000us     530.501ms        12.40%     530.501ms      49.953us         10620  
                                               aten::mm         1.56%     109.378ms         1.89%     132.599ms      64.026us     453.304ms        10.59%     453.749ms     219.096us          2071  
                     nvjet_tst_384x16_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     253.741ms         5.93%     253.741ms     424.317us           598  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     244.652ms         5.72%     244.652ms      23.037us         10620  
                     nvjet_tst_192x64_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     210.218ms         4.91%     210.218ms      70.307us          2990  
                                            aten::index         3.89%     273.304ms         7.63%     536.743ms      14.449us     163.567ms         3.82%     168.271ms       4.530us         37147  
              nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     140.279ms         3.28%     140.279ms     475.521us           295  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.102ms         3.02%     129.102ms       5.397us         23919  
              nvjet_tst_64x64_64x13_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     116.091ms         2.71%     116.091ms      38.826us          2990  
                                 aten::_index_put_impl_         1.68%     118.038ms         3.57%     251.047ms      10.499us     103.277ms         2.41%     103.853ms       4.343us         23911  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     102.307ms         2.39%     102.307ms       4.332us         23616  
                                            aten::copy_         2.57%     180.806ms        49.03%        3.448s      55.208us     101.265ms         2.37%     101.318ms       1.622us         62447  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      69.285ms         1.62%      69.285ms       5.037us         13754  
                     nvjet_tst_48x64_64x15_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      63.372ms         1.48%      63.372ms      21.195us          2990  
